cluster	gene	is.driver	P.vaf	R.vaf	P.ccf	R.ccf	P.ref.count	P.var.count	P.depth	R.ref.count	R.var.count	R.depth	P	R
1	-	FALSE	52.58	43.77	105.16	87.54	1045	1046	2091	2204	1748	3953	52.58	43.77
1	-	FALSE	46.97	42.11	93.94	84.22	2631	2579	5211	2443	1891	4334	46.97	42.11
1	-	FALSE	49.37	40.89	98.74	81.78	1697	1705	3402	2487	1802	4288	49.37	40.89
1	-	FALSE	43.88	37.81	87.76	75.62	2500	2161	4661	2204	1587	3790	43.88	37.81
1	-	FALSE	54.12	47.21	108.24	94.42	1632	1805	3436	1629	1354	2983	54.12	47.21
1	-	FALSE	45.32	43.83	90.64	87.66	2425	2203	4629	2479	1863	4342	45.32	43.83
1	-	FALSE	48.67	42.41	97.34	84.82	2897	3023	5919	2337	1830	4167	48.67	42.41
1	-	FALSE	44.53	38.17	89.06	76.34	1439	1263	2702	1352	926	2278	44.53	38.17
1	-	FALSE	45.57	46.4	91.14	92.8	2141	1802	3943	2626	2030	4656	45.57	46.4
1	-	FALSE	46.86	40.44	93.72	80.88	2175	1844	4019	2117	1359	3475	46.86	40.44
1	-	FALSE	44.12	42.35	88.24	84.7	2612	2296	4908	2770	2017	4787	44.12	42.35
1	-	FALSE	46.84	41.11	93.68	82.22	2793	2595	5387	2194	1550	3745	46.84	41.11
1	-	FALSE	55.26	42.8	110.52	85.6	2486	2487	4973	2363	1582	3945	55.26	42.8
1	-	FALSE	49.49	41.89	98.98	83.78	2441	2057	4498	2375	1554	3929	49.49	41.89
1	-	FALSE	43.22	35.15	86.44	70.3	2323	1664	3988	2616	1483	4099	43.22	35.15
1	-	FALSE	47.47	38.55	94.94	77.1	2811	2676	5487	2552	1773	4325	47.47	38.55
1	-	FALSE	45.13	41.14	90.26	82.28	2992	2544	5536	2774	1954	4728	45.13	41.14
1	-	FALSE	45.05	37.38	90.1	74.76	3004	2459	5463	2800	1753	4553	45.05	37.38
1	-	FALSE	52.2	47.49	104.4	94.98	2603	2701	5304	1907	1573	3480	52.2	47.49
1	-	FALSE	44.93	38.65	89.86	77.3	2108	1660	3768	2030	1315	3345	44.93	38.65
1	-	FALSE	48	43.22	96	86.44	2687	2745	5431	2060	1646	3706	48	43.22
1	-	FALSE	49.78	40.53	99.56	81.06	1858	1786	3644	1308	949	2257	49.78	40.53
1	-	FALSE	51.9	42.93	103.8	85.86	1952	2033	3985	2658	2078	4737	51.9	42.93
1	-	FALSE	48.19	39.11	96.38	78.22	1586	1330	2916	2170	1469	3639	48.19	39.11
1	-	FALSE	45.34	40.17	90.68	80.34	3467	2623	6090	2687	1862	4549	45.34	40.17
1	-	FALSE	46.84	42.33	93.68	84.66	2734	2720	5453	2159	1573	3732	46.84	42.33
1	-	FALSE	48.93	39.53	97.86	79.06	2564	2637	5200	2062	1308	3370	48.93	39.53
1	-	FALSE	46.57	42.4	93.14	84.8	3323	3028	6351	2501	1909	4410	46.57	42.4
1	-	FALSE	49.43	42.23	98.86	84.46	2832	2716	5548	2965	2033	4998	49.43	42.23
1	-	FALSE	51.28	46.14	102.56	92.28	2501	2582	5083	2046	1629	3675	51.28	46.14
1	-	FALSE	46.19	41.88	92.38	83.76	2793	2456	5249	2333	1610	3943	46.19	41.88
1	-	FALSE	43.95	42.94	87.9	85.88	3530	2984	6513	2674	2009	4683	43.95	42.94
1	-	FALSE	42.43	38.86	84.86	77.72	3535	2727	6262	3379	2191	5570	42.43	38.86
1	-	FALSE	39.07	37.78	78.14	75.56	139	89	229	157	97	254	39.07	37.78
1	-	FALSE	49.53	45.07	99.06	90.14	3308	3209	6517	1991	1683	3674	49.53	45.07
1	-	FALSE	48.15	39.19	96.3	78.38	2435	2368	4803	2118	1570	3689	48.15	39.19
1	-	FALSE	44.01	37.66	88.02	75.32	2743	2072	4815	2654	1769	4423	44.01	37.66
1	-	FALSE	50.5	43.63	101	87.26	2887	2822	5709	2488	1932	4420	50.5	43.63
1	-	FALSE	48	40.93	96	81.86	2297	2310	4607	1932	1453	3386	48	40.93
1	-	FALSE	52.94	48.28	105.88	96.56	2167	2259	4426	1250	1042	2292	52.94	48.28
1	-	FALSE	45.76	42.68	91.52	85.36	2774	2492	5265	2330	1799	4129	45.76	42.68
1	-	FALSE	45.95	41.21	91.9	82.42	1776	1530	3306	2268	1635	3903	45.95	41.21
1	-	FALSE	44.88	41.42	89.76	82.84	2721	2382	5103	2125	1518	3642	44.88	41.42
1	-	FALSE	46.69	44.33	93.38	88.66	2397	2307	4704	1818	1450	3268	46.69	44.33
1	-	FALSE	45.64	41.41	91.28	82.82	3276	2868	6144	2109	1537	3646	45.64	41.41
1	-	FALSE	45.43	42.64	90.86	85.28	3101	2636	5736	2303	1742	4045	45.43	42.64
1	-	FALSE	46.84	38.09	93.68	76.18	1653	1653	3307	1315	920	2235	46.84	38.09
1	-	FALSE	45.1	44.1	90.2	88.2	2585	1968	4552	1747	1302	3049	45.1	44.1
1	-	FALSE	45.79	39.4	91.58	78.8	2584	2252	4836	2206	1453	3659	45.79	39.4
1	-	FALSE	49.89	44.17	99.78	88.34	2519	2663	5182	2267	1872	4139	49.89	44.17
1	-	FALSE	49.47	41.84	98.94	83.68	2276	2378	4654	2539	1949	4488	49.47	41.84
1	-	FALSE	47.96	40.14	95.92	80.28	2690	2522	5212	2642	1862	4504	47.96	40.14
1	-	FALSE	52.31	47.28	104.62	94.56	2381	2672	5053	1681	1469	3150	52.31	47.28
1	-	FALSE	47.62	45.05	95.24	90.1	2597	2378	4975	1867	1498	3365	47.62	45.05
1	-	FALSE	47.03	39.97	94.06	79.94	3276	2677	5953	2733	1764	4497	47.03	39.97
1	-	FALSE	48.46	48.16	96.92	96.32	2480	2454	4934	1540	1462	3002	48.46	48.16
1	-	FALSE	46.02	39.57	92.04	79.14	2928	2577	5505	2434	1705	4139	46.02	39.57
1	-	FALSE	38.51	31.82	77.02	63.64	2813	2408	5221	2460	1496	3956	38.51	31.82
1	-	FALSE	43.41	44.98	86.82	89.96	2584	1757	4341	950	695	1645	43.41	44.98
1	-	FALSE	45.68	45.4	91.36	90.8	3123	2717	5840	1683	1359	3042	45.68	45.4
1	-	FALSE	45.05	37.67	90.1	75.34	2458	2069	4527	2335	1517	3852	45.05	37.67
1	-	FALSE	47.81	40.7	95.62	81.4	1707	1698	3405	1522	1068	2590	47.81	40.7
1	-	FALSE	40.36	39.92	80.72	79.84	1998	1321	3319	1950	1265	3215	40.36	39.92
1	-	FALSE	47.31	44.93	94.62	89.86	2509	2190	4699	1759	1486	3246	47.31	44.93
1	-	FALSE	44.23	44.9	88.46	89.8	2592	2506	5098	1861	1551	3412	44.23	44.9
1	-	FALSE	48.49	43.23	96.98	86.46	1920	1962	3882	1341	1076	2417	48.49	43.23
1	-	FALSE	45.35	42.18	90.7	84.36	3083	2118	5201	2632	1951	4584	45.35	42.18
1	-	FALSE	46.82	43.59	93.64	87.18	2826	2565	5391	2244	1668	3912	46.82	43.59
1	-	FALSE	46.09	45	92.18	90	2701	2079	4779	2192	1769	3962	46.09	45
1	-	FALSE	43.36	39.82	86.72	79.64	2622	1868	4490	218	NA	NA	43.36	39.82
1	-	FALSE	47.09	40.03	94.18	80.06	2202	2051	4253	2266	1659	3925	47.09	40.03
1	-	FALSE	40.32	42.37	80.64	84.74	818	676	1494	1045	797	1842	40.32	42.37
1	-	FALSE	51.99	46.51	103.98	93.02	1339	1485	2824	1375	1193	2568	51.99	46.51
1	-	FALSE	51.7	42.64	103.4	85.28	1634	2011	3646	1722	1337	3058	51.7	42.64
1	-	FALSE	40.43	38.49	80.86	76.98	2138	1740	3878	1423	1008	2431	40.43	38.49
1	-	FALSE	41.37	43.22	82.74	86.44	2834	2048	4882	2029	1592	3621	41.37	43.22
1	-	FALSE	49.13	42.61	98.26	85.22	2157	1737	3894	1859	1340	3200	49.13	42.61
1	-	FALSE	48.12	43.11	96.24	86.22	1415	1523	2938	910	719	1629	48.12	43.11
1	-	FALSE	46.1	40.51	92.2	81.02	3071	2571	5642	2496	1763	4259	46.1	40.51
1	-	FALSE	49.75	45.6	99.5	91.2	2216	1803	4018	1570	1216	2786	49.75	45.6
1	-	FALSE	48.13	42.44	96.26	84.88	3725	3449	7174	3136	2267	5402	48.13	42.44
1	-	FALSE	45.86	41.14	91.72	82.28	2369	2235	4604	1757	1297	3054	45.86	41.14
1	-	FALSE	45.4	40.98	90.8	81.96	2857	2413	5270	1987	1376	3363	45.4	40.98
1	-	FALSE	49.01	39.38	98.02	78.76	2581	2475	5056	2292	1633	3925	49.01	39.38
1	-	FALSE	45.82	43.55	91.64	87.1	3115	2873	5987	2343	1930	4273	45.82	43.55
1	-	FALSE	43.95	40.45	87.9	80.9	2682	2047	4729	3018	1910	4928	43.95	40.45
1	-	FALSE	46.12	42.18	92.24	84.36	2190	1709	3899	2258	1860	4118	46.12	42.18
1	-	FALSE	46.73	42.8	93.46	85.6	2549	2374	4923	2315	1813	4127	46.73	42.8
1	-	FALSE	45.61	41.51	91.22	83.02	2469	2135	4604	1550	1088	2638	45.61	41.51
1	-	FALSE	47.69	42.03	95.38	84.06	1384	1233	2618	1670	1183	2852	47.69	42.03
1	-	FALSE	48.52	42.44	97.04	84.88	2814	2561	5375	2399	1771	4170	48.52	42.44
1	-	FALSE	43.04	41.89	86.08	83.78	2689	2127	4816	2607	1998	4604	43.04	41.89
1	-	FALSE	49.85	44.22	99.7	88.44	2080	2276	4356	2336	1851	4187	49.85	44.22
1	-	FALSE	44.42	33.11	88.84	66.22	2017	1766	3783	2440	1663	4104	44.42	33.11
1	-	FALSE	51.34	48.35	102.68	96.7	2526	2458	4984	2130	1510	3640	51.34	48.35
1	-	FALSE	43.1	41.57	86.2	83.14	2590	2104	4694	2584	1925	4509	43.1	41.57
1	-	FALSE	50.4	43.52	100.8	87.04	2369	2399	4767	1885	1479	3365	50.4	43.52
1	-	FALSE	45.08	37.92	90.16	75.84	2688	2482	5170	2772	1793	4565	45.08	37.92
1	-	FALSE	47.07	42.47	94.14	84.94	2806	2567	5373	3433	2567	6000	47.07	42.47
1	-	FALSE	43.95	40.16	87.9	80.32	2895	2226	5121	2691	1801	4492	43.95	40.16
1	-	FALSE	46.91	40.97	93.82	81.94	2123	2237	4360	2178	1662	3840	46.91	40.97
1	-	FALSE	38.85	39.28	77.7	78.56	3805	2259	6064	2949	1894	4843	38.85	39.28
1	-	FALSE	49.26	40.5	98.52	81	2740	2850	5590	2113	1625	3738	49.26	40.5
1	-	FALSE	45.5	40.41	91	80.82	2822	2566	5387	2056	1516	3572	45.5	40.41
1	-	FALSE	45.61	42.35	91.22	84.7	3313	2880	6194	2551	1932	4483	45.61	42.35
1	-	FALSE	46.23	40.37	92.46	80.74	3086	2737	5823	3223	2215	5438	46.23	40.37
1	-	FALSE	38.51	35.91	77.02	71.82	2896	2018	4914	1988	1227	3215	38.51	35.91
1	-	FALSE	45.63	41.64	91.26	83.28	3337	2668	6005	2435	1791	4226	45.63	41.64
1	-	FALSE	51.28	44.69	102.56	89.38	2952	2984	5936	2809	2095	4904	51.28	44.69
1	-	FALSE	49.93	44.36	99.86	88.72	2628	2788	5416	2253	1985	4238	49.93	44.36
1	-	FALSE	44.19	42.41	88.38	84.82	3006	2363	5369	3024	2223	5248	44.19	42.41
1	-	FALSE	45.8	40.31	91.6	80.62	2712	2505	5217	1915	1565	3480	45.8	40.31
1	-	FALSE	51.79	42.98	103.58	85.96	2360	2289	4649	2616	2076	4692	51.79	42.98
1	-	FALSE	48.27	43.44	96.54	86.88	2727	2421	5148	2877	2281	5158	48.27	43.44
1	-	FALSE	45.48	40.59	90.96	81.18	2959	2570	5528	2815	1921	4736	45.48	40.59
1	-	FALSE	45.14	43.42	90.28	86.84	3021	2574	5595	2257	1813	4070	45.14	43.42
1	-	FALSE	48.94	44.24	97.88	88.48	2585	2654	5239	2683	2088	4770	48.94	44.24
1	-	FALSE	47.68	43.86	95.36	87.72	2992	2600	5592	2420	1808	4228	47.68	43.86
1	-	FALSE	43.92	42.36	87.84	84.72	2758	1998	4756	2441	1720	4160	43.92	42.36
1	-	FALSE	35.05	36.17	70.1	72.34	2303	1726	4029	1985	1325	3311	35.05	36.17
1	-	FALSE	43.32	42.36	86.64	84.72	2569	2132	4701	1695	1327	3022	43.32	42.36
1	-	FALSE	49.53	47.15	99.06	94.3	2935	2790	5725	1838	1634	3472	49.53	47.15
1	-	FALSE	49.45	43.96	98.9	87.92	2855	3059	5914	2405	1909	4314	49.45	43.96
1	-	FALSE	48.29	41.77	96.58	83.54	2550	2369	4919	2284	1679	3963	48.29	41.77
1	-	FALSE	50.7	40.7	101.4	81.4	2383	2498	4880	2253	1671	3924	50.7	40.7
1	-	FALSE	45.83	39.21	91.66	78.42	2307	1895	4202	1150	854	2004	45.83	39.21
1	-	FALSE	48.05	39.7	96.1	79.4	2040	1566	3606	934	679	1612	48.05	39.7
1	-	FALSE	42.63	39.55	85.26	79.1	2669	2019	4688	2076	1445	3521	42.63	39.55
1	-	FALSE	47.84	41.04	95.68	82.08	3801	3650	7451	3699	2612	6311	47.84	41.04
1	-	FALSE	50.92	45.79	101.84	91.58	2484	2886	5371	2203	1939	4142	50.92	45.79
1	-	FALSE	45.35	42.91	90.7	85.82	3354	2727	6081	2277	1771	4048	45.35	42.91
1	-	FALSE	54.71	48.51	109.42	97.02	2603	3196	5799	2237	1972	4209	54.71	48.51
1	-	FALSE	48.45	45.7	96.9	91.4	2717	2814	5531	2290	1888	4178	48.45	45.7
1	-	FALSE	44.19	20.74	88.38	41.48	3068	2489	5557	166	118	284	44.19	20.74
1	-	FALSE	47.4	40.99	94.8	81.98	2612	2468	5080	2171	1613	3783	47.4	40.99
1	-	FALSE	46.96	40.9	93.92	81.8	2071	1902	3973	1640	1069	2709	46.96	40.9
1	-	FALSE	46.15	43.2	92.3	86.4	2757	2435	5192	2214	1647	3861	46.15	43.2
1	-	FALSE	49.96	41.57	99.92	83.14	2112	2494	4606	1829	1647	3476	49.96	41.57
1	-	FALSE	48.38	37.01	96.76	74.02	1755	1878	3633	1121	720	1840	48.38	37.01
1	-	FALSE	47.24	43.55	94.48	87.1	3371	3140	6511	2214	1782	3996	47.24	43.55
1	-	FALSE	46.53	43.85	93.06	87.7	2867	2484	5351	2239	1644	3883	46.53	43.85
1	-	FALSE	44.37	40.36	88.74	80.72	2969	2230	5199	1987	1324	3311	44.37	40.36
1	-	FALSE	45.9	39.3	91.8	78.6	1241	912	2153	1106	718	1824	45.9	39.3
1	-	FALSE	47.08	46.41	94.16	92.82	2231	2013	4244	2269	1876	4144	47.08	46.41
1	-	FALSE	44.41	39.6	88.82	79.2	2571	2197	4768	1932	1303	3235	44.41	39.6
1	-	FALSE	55.16	48	110.32	96	2229	2264	4493	2348	1908	4256	55.16	48
1	-	FALSE	45.55	33.92	91.1	67.84	2623	2189	4812	2660	1635	4296	45.55	33.92
1	-	FALSE	46.53	42.09	93.06	84.18	3331	2748	6079	2178	1588	3766	46.53	42.09
1	-	FALSE	43.07	39.51	86.14	79.02	2683	2561	5244	2209	1760	3969	43.07	39.51
1	-	FALSE	45.42	42.55	90.84	85.1	2514	2336	4850	2534	1928	4462	45.42	42.55
1	-	FALSE	47.41	41.23	94.82	82.46	2017	1927	3944	1793	1297	3090	47.41	41.23
1	-	FALSE	39.04	40.74	78.08	81.48	3627	2492	6118	2501	1907	4407	39.04	40.74
1	-	FALSE	52.53	43.03	105.06	86.06	2029	2394	4423	1712	1291	3002	52.53	43.03
1	-	FALSE	52.77	45.65	105.54	91.3	1812	1859	3671	1808	1491	3300	52.77	45.65
1	-	FALSE	47.41	43.11	94.82	86.22	2951	2699	5650	2088	1622	3711	47.41	43.11
1	-	FALSE	50.58	41.03	101.16	82.06	2409	2304	4713	1836	1441	3277	50.58	41.03
1	-	FALSE	44.72	40.8	89.44	81.6	2707	2272	4979	2341	1668	4009	44.72	40.8
1	-	FALSE	64.79	61.1	129.58	122.2	2301	2564	4864	2041	2035	4076	64.79	61.1
1	-	FALSE	47.94	42.55	95.88	85.1	3184	2803	5987	2058	1504	3562	47.94	42.55
1	-	FALSE	50.28	43.39	100.56	86.78	2700	2694	5394	2081	1750	3831	50.28	43.39
1	-	FALSE	42.18	38.33	84.36	76.66	2637	1995	4633	2354	1580	3934	42.18	38.33
1	-	FALSE	49.51	44.72	99.02	89.44	222	218	440	227	183	410	49.51	44.72
1	-	FALSE	48.3	45.06	96.6	90.12	2232	2209	4441	2056	1699	3755	48.3	45.06
1	-	FALSE	43.17	41.28	86.34	82.56	2314	1727	4041	1671	1189	2859	43.17	41.28
1	-	FALSE	49	46.7	98	93.4	2454	2859	5313	2126	2147	4273	49	46.7
1	-	FALSE	49.31	47.37	98.62	94.74	2476	2581	5056	2276	2154	4430	49.31	47.37
1	-	FALSE	44.57	41.44	89.14	82.88	2307	2045	4352	1963	1585	3548	44.57	41.44
1	-	FALSE	41.66	39.61	83.32	79.22	2170	1656	3826	2014	1401	3415	41.66	39.61
1	-	FALSE	46.88	41.83	93.76	83.66	2009	2049	4058	1915	1322	3237	46.88	41.83
1	-	FALSE	44.6	40.89	89.2	81.78	1302	1336	2638	983	816	1799	44.6	40.89
1	-	FALSE	44.81	37.43	89.62	74.86	2121	1840	3962	869	684	1553	44.81	37.43
1	-	FALSE	48.74	43.38	97.48	86.76	1644	1647	3292	1136	889	2025	48.74	43.38
1	-	FALSE	47.47	42.94	94.94	85.88	2866	2837	5703	2497	1955	4452	47.47	42.94
1	-	FALSE	47.18	42.15	94.36	84.3	2681	2033	4713	2024	1418	3442	47.18	42.15
1	-	FALSE	45.7	44.98	91.4	89.96	2259	1783	4042	1520	1201	2721	45.7	44.98
1	-	FALSE	49.43	47.47	98.86	94.94	2072	1705	3777	1643	1303	2946	49.43	47.47
1	-	FALSE	43.43	45.24	86.86	90.48	2813	2333	5146	1805	1568	3372	43.43	45.24
1	-	FALSE	44.57	39.12	89.14	78.24	2695	1990	4685	1763	1193	2956	44.57	39.12
1	-	FALSE	51.5	45.9	103	91.8	2813	3303	6116	2099	1943	4042	51.5	45.9
1	-	FALSE	47.16	44.85	94.32	89.7	1557	1291	2848	1773	1457	3230	47.16	44.85
1	-	FALSE	43.18	42.45	86.36	84.9	2172	1903	4075	2134	1575	3709	43.18	42.45
1	-	FALSE	46.87	46.73	93.74	93.46	1468	1674	3142	981	887	1868	46.87	46.73
1	-	FALSE	50.88	46.76	101.76	93.52	2590	2441	5031	2051	1592	3643	50.88	46.76
1	-	FALSE	41.93	43.97	83.86	87.94	2564	1912	4476	1972	1449	3421	41.93	43.97
1	-	FALSE	49.33	41.39	98.66	82.78	2768	2772	5540	2562	1965	4527	49.33	41.39
1	-	FALSE	50.69	43.91	101.38	87.82	2460	2509	4968	2385	1925	4310	50.69	43.91
1	-	FALSE	42.46	36.94	84.92	73.88	2085	1658	3743	1278	850	2128	42.46	36.94
1	-	FALSE	45.28	44.81	90.56	89.62	2614	2054	4668	1950	1556	3506	45.28	44.81
1	-	FALSE	47.03	43.07	94.06	86.14	3186	2783	5969	2469	1914	4382	47.03	43.07
1	-	FALSE	49.03	41.74	98.06	83.48	1638	1586	3225	1197	873	2070	49.03	41.74
1	-	FALSE	47.82	43.53	95.64	87.06	2494	2252	4746	2092	1652	3744	47.82	43.53
1	-	FALSE	47.78	40.47	95.56	80.94	2473	2337	4810	2410	1933	4342	47.78	40.47
1	-	FALSE	48.72	45.67	97.44	91.34	3045	2775	5821	2472	2072	4545	48.72	45.67
1	-	FALSE	51.03	47	102.06	94	828	765	1594	1823	1603	3426	51.03	47
1	-	FALSE	46.35	42.45	92.7	84.9	3013	2926	5939	2216	1635	3852	46.35	42.45
1	-	FALSE	41.96	39.67	83.92	79.34	3488	2570	6057	1954	1380	3334	41.96	39.67
1	-	FALSE	42.79	33.38	85.58	66.76	2091	1888	3979	917	678	1595	42.79	33.38
1	-	FALSE	47.82	43.86	95.64	87.72	2150	1935	4085	1773	1373	3147	47.82	43.86
1	-	FALSE	49.79	43.05	99.58	86.1	1527	1494	3021	570	392	962	49.79	43.05
1	-	FALSE	43.75	34.33	87.5	68.66	3205	2397	5602	227	NA	NA	43.75	34.33
1	-	FALSE	43	39.75	86	79.5	2406	1777	4183	1212	752	1964	43	39.75
1	-	FALSE	50.81	44.82	101.62	89.64	1864	2181	4045	1247	980	2227	50.81	44.82
1	-	FALSE	45.48	42.03	90.96	84.06	2752	2258	5010	2547	1894	4441	45.48	42.03
1	-	FALSE	48.8	47.36	97.6	94.72	2588	2442	5030	1734	1471	3205	48.8	47.36
1	-	FALSE	22.23	38.09	44.46	76.18	117	94	211	1544	1052	2596	22.23	38.09
1	-	FALSE	47.72	41.82	95.44	83.64	2481	2088	4569	1927	1465	3392	47.72	41.82
1	-	FALSE	48.55	44.37	97.1	88.74	2147	1927	4074	1716	1430	3147	48.55	44.37
1	-	FALSE	46.27	28.21	92.54	56.42	3309	2824	6132	415	302	717	46.27	28.21
1	-	FALSE	38.65	42.04	77.3	84.08	2302	1508	3811	1469	1181	2650	38.65	42.04
1	-	FALSE	43.78	40.65	87.56	81.3	2155	1517	3672	1665	1142	2806	43.78	40.65
1	-	FALSE	46.11	41	92.22	82	1751	1510	3261	1277	912	2189	46.11	41
1	-	FALSE	50.56	46.05	101.12	92.1	1934	1763	3697	1951	1477	3428	50.56	46.05
1	-	FALSE	49.17	42.33	98.34	84.66	2373	2389	4762	1569	1161	2730	49.17	42.33
1	-	FALSE	50.41	38.83	100.82	77.66	1376	1314	2689	1102	717	1820	50.41	38.83
1	-	FALSE	48.4	45.89	96.8	91.78	2628	2412	5040	2013	1672	3685	48.4	45.89
1	-	FALSE	45.2	41.63	90.4	83.26	3287	2437	5724	2057	1463	3520	45.2	41.63
1	-	FALSE	49.42	44.55	98.84	89.1	2926	3019	5945	2247	1868	4115	49.42	44.55
1	-	FALSE	44.6	37.59	89.2	75.18	2504	2265	4769	1676	1143	2819	44.6	37.59
1	-	FALSE	45.69	39.05	91.38	78.1	2778	2438	5216	1925	1322	3247	45.69	39.05
1	-	FALSE	47.19	43.55	94.38	87.1	2538	2126	4665	2500	1818	4317	47.19	43.55
1	-	FALSE	50.18	43.9	100.36	87.8	1864	1903	3767	1672	1393	3065	50.18	43.9
1	-	FALSE	51.45	44.38	102.9	88.76	1949	1976	3925	1926	1599	3525	51.45	44.38
1	-	FALSE	46.88	39.5	93.76	79	1175	998	2174	1247	792	2039	46.88	39.5
1	-	FALSE	50.32	42.07	100.64	84.14	2041	2453	4494	1740	1234	2973	50.32	42.07
1	-	FALSE	40.04	38.67	80.08	77.34	1902	1353	3255	1903	1432	3334	40.04	38.67
1	-	FALSE	42.26	42.75	84.52	85.5	2715	1944	4659	2461	1780	4241	42.26	42.75
1	-	FALSE	46.57	41.31	93.14	82.62	1823	1581	3404	2281	1520	3800	46.57	41.31
1	-	FALSE	52.69	45.64	105.38	91.28	728	872	1600	582	487	1069	52.69	45.64
